name,version,platform,vdpx,framework_version,python_version,min_vam_version
abb.abb_800,1.1.9,win_amd64,abb.abb_800-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
abb.abb_800,1.1.9,linux_x86_64,abb.abb_800-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
abb.acs,1.1.8,win_amd64,abb.acs-1.1.8-win_amd64._vdpx,2.7.5,3.9,1.38
abb.acs,1.1.8,linux_x86_64,abb.acs-1.1.8-linux_x86_64._vdpx,2.7.5,3.9,1.38
abb.totalflow,1.1.11,linux_x86_64,abb.totalflow-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
abb.totalflow,1.1.11,win_amd64,abb.totalflow-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
advanced_control_systems.ntx,1.1.10,win_amd64,advanced_control_systems.ntx-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
advanced_control_systems.ntx,1.1.10,linux_x86_64,advanced_control_systems.ntx-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
advantech.advantech_io,1.1.14,linux_x86_64,advantech.advantech_io-1.1.14-linux_x86_64._vdpx,2.7.5,3.9,1.38
advantech.advantech_io,1.1.14,win_amd64,advantech.advantech_io-1.1.14-win_amd64._vdpx,2.7.5,3.9,1.38
altronic.de_4000,1.1.2,win_amd64,altronic.de_4000-1.1.2-win_amd64._vdpx,2.7.5,3.9,1.38
altronic.de_4000,1.1.2,linux_x86_64,altronic.de_4000-1.1.2-linux_x86_64._vdpx,2.7.5,3.9,1.38
apc.power_devices,1.1.6,linux_x86_64,apc.power_devices-1.1.6-linux_x86_64._vdpx,2.7.5,3.9,1.38
apc.power_devices,1.1.6,win_amd64,apc.power_devices-1.1.6-win_amd64._vdpx,2.7.5,3.9,1.38
aruba.arubaos,1.1.9,win_amd64,aruba.arubaos-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
aruba.arubaos,1.1.9,linux_x86_64,aruba.arubaos-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
aten.kvm,1.1.4,linux_x86_64,aten.kvm-1.1.4-linux_x86_64._vdpx,2.7.5,3.9,1.38
aten.kvm,1.1.4,win_amd64,aten.kvm-1.1.4-win_amd64._vdpx,2.7.5,3.9,1.38
automation_direct.c_more,1.1.6,win_amd64,automation_direct.c_more-1.1.6-win_amd64._vdpx,2.7.5,3.9,1.38
automation_direct.c_more,1.1.6,linux_x86_64,automation_direct.c_more-1.1.6-linux_x86_64._vdpx,2.7.5,3.9,1.38
aviat.eclipse,1.1.13,linux_x86_64,aviat.eclipse-1.1.13-linux_x86_64._vdpx,2.7.5,3.9,1.38
aviat.eclipse,1.1.13,win_amd64,aviat.eclipse-1.1.13-win_amd64._vdpx,2.7.5,3.9,1.38
bachmann.mpc200,1.1.10,linux_x86_64,bachmann.mpc200-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
bachmann.mpc200,1.1.10,win_amd64,bachmann.mpc200-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
bacnet_ip.generic,1.1.1,linux_x86_64,bacnet_ip.generic-1.1.1-linux_x86_64._vdpx,2.7.5,3.9,1.38
bacnet_ip.generic,1.1.1,win_amd64,bacnet_ip.generic-1.1.1-win_amd64._vdpx,2.7.5,3.9,1.38
beckhoff.bk9000,1.1.9,win_amd64,beckhoff.bk9000-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
beckhoff.bk9000,1.1.9,linux_x86_64,beckhoff.bk9000-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
beckwith.m3311a,1.1.9,win_amd64,beckwith.m3311a-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
beckwith.m3311a,1.1.9,linux_x86_64,beckwith.m3311a-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
bentek_systems.scadalink,1.1.3,linux_x86_64,bentek_systems.scadalink-1.1.3-linux_x86_64._vdpx,2.7.5,3.9,1.38
bentek_systems.scadalink,1.1.3,win_amd64,bentek_systems.scadalink-1.1.3-win_amd64._vdpx,2.7.5,3.9,1.38
bently_nevada.bn_3500,1.1.12,linux_x86_64,bently_nevada.bn_3500-1.1.12-linux_x86_64._vdpx,2.7.5,3.9,1.38
bently_nevada.bn_3500,1.1.12,win_amd64,bently_nevada.bn_3500-1.1.12-win_amd64._vdpx,2.7.5,3.9,1.38
bk_vibro.ddau2,1.1.2,linux_x86_64,bk_vibro.ddau2-1.1.2-linux_x86_64._vdpx,2.7.5,3.9,1.38
