DriverName,Hostname,MACAddressVendor,TCPListeningPorts
,,"[""VMware, Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Bristol Babcock, Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Bristol Babcock, Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Axis Communications AB""]",
,,"[""VMware, Inc""]","[53, 88, 135, 139, 389, 445, 464, 593, 636, 3268, 3269, 3389, 5985, 12388, 12389, 12390, 12391, 12392, 12636, 13268, 13269, 47001, 49664, 49665, 53373, 53390, 56840, 59543, 62351, 62353, 62356, 62358, 62359, 62360, 62361, 62362]"
"""onvif.generic""","""Hikvision""","[""Hangzhou Hikvision Digital Technology Co., Ltd""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Dell Inc""]",
,,"[""Bristol Babcock, Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""snmp.generic""","""ANS0134PDU001""","[""APC by Schneider Electric""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ge.mds""",,"[""Microwave Data Systems Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Schneider Electric Japan Holdings Ltd""]",
,,"[""VMware, Inc""]","[22, 53, 8339]"
"""ethernetip""",,"[""Rockwell Automation""]",
"""juniper_networks.junos""","""sw-pcn-laprise-d27i-control-01""","[""Xerox Corporation"", ""Juniper Networks""]",
"""ethernetip""",,"[""Caterpillar, Inc""]",
"""palo_alto_networks.panos""","""fw-pcn-gundy-plant-admin-01""","[""Palo Alto Networks""]",
,,"[""VMware, Inc""]",
,,"[""VMware, Inc""]","[80, 135, 139, 403, 445, 1332, 2221, 3060, 3389, 4241, 4245, 4255, 5241, 5357, 5698, 5699, 5985, 6543, 7153, 8082, 8141, 9111, 12315, 22350, 22352, 27000, 30064, 44818, 47001, 49606, 49664, 49665, 50696, 52482, 63366, 63367, 63369, 63370, 63389, 63399, 63436]"
"""snmp.generic""","""sw-pcn-wil-1420-K20001-01""","[""Cisco Systems, Inc""]","[22, 80, 443]"
"""cisco.ios""","""sw-pcn-musreau-0813-mcc2-01""","[""Cisco Systems, Inc""]","[22, 443, 21111]"
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,,
"""snmp.generic""","""idrac-C8KNWM3""","[""Dell Inc""]",
